Date,Town,Case,Rate
4/22/2020,Tyringham,,
4/22/2020,Upton,13,143.79
4/22/2020,Uxbridge,29,188.15
4/22/2020,Wakefield,181,670.25
4/22/2020,Wales,,
4/22/2020,Walpole,145,559.83
4/22/2020,Waltham,542,813.09
4/22/2020,Ware,10,98.63
4/22/2020,Wareham,78,325.67
4/22/2020,Warren,,
4/22/2020,Warwick,0,0
4/22/2020,Washington,,
4/22/2020,Watertown,163,491.37
4/22/2020,Wayland,50,376.45
4/22/2020,Webster,48,279.22
4/22/2020,Wellesley,164,551.54
4/22/2020,Wellfleet,,
4/22/2020,Wendell,0,0
4/22/2020,Wenham,8,153.67
4/22/2020,West Boylston,21,267.51
4/22/2020,West Bridgewater,32,441.53
4/22/2020,West Brookfield,6,161.74
4/22/2020,West Newbury,,
4/22/2020,West Springfield,171,580.5
4/22/2020,West Stockbridge,,
4/22/2020,West Tisbury,7,242.81
4/22/2020,Westborough,133,705.86
4/22/2020,Westfield,270,649.38
4/22/2020,Westford,93,401.91
4/22/2020,Westhampton,,
4/22/2020,Westminster,13,177.3
4/22/2020,Weston,66,594.93
4/22/2020,Westport,16,96.13
4/22/2020,Westwood,67,454.56
4/22/2020,Weymouth,360,642.13
4/22/2020,Whately,,
4/22/2020,Whitman,87,564.21
4/22/2020,Wilbraham,91,625.75
4/22/2020,Williamsburg,5,202.69
4/22/2020,Williamstown,81,1099.24
4/22/2020,Wilmington,184,754.93
4/22/2020,Winchendon,41,381.51
4/22/2020,Winchester,60,268.77
4/22/2020,Windsor,0,0
4/22/2020,Winthrop,110,583.64
4/22/2020,Woburn,220,530.24
4/22/2020,Worcester,1457,759.37
4/22/2020,Worthington,0,0
4/22/2020,Wrentham,46,408
4/22/2020,Yarmouth,52,216.46
4/22/2020,Unknown,854,
4/22/2020,State Total,42944,616.41
4/29/2020,Abington,143,796.17
4/29/2020,Acton,74,311.81
4/29/2020,Acushnet,35,334.82
4/29/2020,Adams,32,386.44
4/29/2020,Agawam,317,1108.22
4/29/2020,Alford,0,0
4/29/2020,Amesbury,72,432.55
4/29/2020,Amherst,83,204.95
4/29/2020,Andover,158,438.7
4/29/2020,Aquinnah,0,0
4/29/2020,Arlington,218,475.89
4/29/2020,Ashburnham,16,254.78
4/29/2020,Ashby,8,231.38
4/29/2020,Ashfield,,
4/29/2020,Ashland,128,656.65
4/29/2020,Athol,38,317.59
4/29/2020,Attleboro,443,957.47
4/29/2020,Auburn,55,333.49
4/29/2020,Avon,48,1095.72
4/29/2020,Ayer,40,495.05
4/29/2020,Barnstable,187,416.99
4/29/2020,Barre,37,665.73
4/29/2020,Becket,11,610.96
4/29/2020,Bedford,152,1020.38
